Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year ,Champion 
5,Celta Vigo,477,59,11.9,2,10.4,,0
6,Real Betis,420,57,13.9,2,12.5,,0
7,Real Sociedad,399,35,10.2,1,15.4,,0
8,Villarreal,384,71,14.1,2,13.3,,0
9,Las Palmas,384,40,10.9,1,14.2,,0
10,Sevilla,383,42,12.5,1,14.4,,0
11,Valencia,372,44,10.2,1,12.1,,0
12,Rayo Vallecano,366,41,13.6,1,13,,0
13,Athletic Club,359,54,12.3,1,13.3,,0
14,Mallorca,330,35,10.2,1,18,,0
15,Osasuna,321,48,11,1,16.5,,0
16,Real Valladolid,317,26,8.8,1,14.9,,0
17,Leganes,297,39,9.3,1,12.6,,0
18,Deportivo Alaves,282,38,10.6,1,17.4,,0
19,Espanyol,280,40,9.4,1,13.3,,0
20,Getafe,232,34,11.4,1,20.6,,0
