Rank,Team,Short Passes pg,Goals,Shots pg,Through Balls pg,Aerials Won,Year 
6,Real Betis,392,46,11.1,2,12.1,2022-2028
7,Athletic Club,387,47,14.4,1,14.2,2022-2029
8,Mallorca,280,37,8.7,1,17.8,2022-2030
9,Celta Vigo,391,43,12.4,1,12.1,2022-2031
10,Girona,402,58,12,1,11.4,2022-2032
11,Valencia,359,42,12.8,1,13,2022-2033
12,Osasuna,334,37,11.7,1,16.2,2022-2034
13,Sevilla,405,47,12.3,1,13.1,2022-2035
14,Espanyol,287,52,11.1,1,17.1,2022-2036
15,Rayo Vallecano,353,45,13.6,1,11.5,2022-2037
16,Real Valladolid,329,33,11.8,1,12.5,2022-2038
17,Almeria,321,49,11.6,1,12.8,2022-2039
18,Getafe,263,34,9.8,1,19,2022-2040
19,Cadiz,267,30,10.4,1,16.1,2022-2041
20,Elche,319,30,10.7,1,12.8,2022-2042
1,Real Madrid,570,87,15.7,2,8.9,2023-2024
2,Barcelona,570,79,15.7,3,12,2023-2025
3,Girona,496,85,12.7,1,10.1,2023-2026
4,Atletico Madrid,459,70,12.7,2,11.4,2023-2027
5,Athletic Club,390,61,12.2,2,14.4,2023-2028
6,Real Betis,411,48,12.9,1,12.9,2023-2029
7,Real Sociedad,415,51,12.1,1,20.3,2023-2030
8,Sevilla,382,48,12.9,1,16.3,2023-2031
9,Villarreal,405,65,12.3,2,12.7,2023-2032
10,Celta Vigo,376,46,12.4,2,14.1,2023-2033
11,Mallorca,305,33,11,1,20.8,2023-2034
12,Valencia,328,40,9.9,1,13,2023-2035
13,Deportivo Alaves,265,36,12.2,1,15.4,2023-2036
14,Osasuna,344,45,11.2,1,20.2,2023-2037
15,Getafe,284,42,11.9,1,17.8,2023-2038
16,Las Palmas,319,33,10.3,2,10.8,2023-2039
17,Rayo Vallecano,353,29,13,1,13.7,2023-2040
18,Almeria,341,43,12.6,1,15,2023-2041
19,Cadiz,283,26,10.5,1,16.9,2023-2042
20,Granada,318,38,10.6,1,12.9,2023-2043
1,Barcelona,597,102,17.8,3,10.2,2024-2025
2,Real Madrid,559,78,16.7,2,9,2024-2026
3,Girona,478,85,12.7,1,10.1,2024-2027
4,Atletico Madrid,477,68,12.4,2,11.9,2024-2028
5,Celta Vigo,477,59,11.9,2,10.4,2024-2029
6,Real Betis,420,57,13.9,2,12.5,2024-2030
7,Real Sociedad,399,35,10.2,1,15.4,2024-2031
8,Villarreal,384,71,14.1,2,13.3,2024-2032
9,Las Palmas,384,40,10.9,1,14.2,2024-2033
10,Sevilla,383,42,12.5,1,14.4,2024-2034
11,Valencia,372,44,10.2,1,12.1,2024-2035
12,Rayo Vallecano,366,41,13.6,1,13,2024-2036
13,Athletic Club,359,54,12.3,1,13.3,2024-2037
14,Mallorca,330,35,10.2,1,18,2024-2038
15,Osasuna,321,48,11,1,16.5,2024-2039
16,Real Valladolid,317,26,8.8,1,14.9,2024-2040
17,Leganes,297,39,9.3,1,12.6,2024-2041
18,Deportivo Alaves,282,38,10.6,1,17.4,2024-2042
19,Espanyol,280,40,9.4,1,13.3,2024-2043
20,Getafe,232,34,11.4,1,20.6,2024-2044
